sku,name,description,item_type,category,brand,hsn_code,unit_of_measure,purchase_price,sale_price,mrp,gst_rate,reorder_level,reorder_quantity,opening_stock,barcode,manufacturer,batch_number,mfg_date,expiry_date
RICE-BAS-25KG,Basmati Rice 25kg,Premium aged basmati rice sack,GOODS,Rice & Grains,India Gate,1006,KG,1500,1700,,5,20,50,100,,KRBL Ltd,,,
RICE-BAS-5KG,Basmati Rice 5kg,Basmati rice retail pack,GOODS,Rice & Grains,India Gate,1006,KG,320,380,399,5,50,100,200,8901725181234,KRBL Ltd,,,
RICE-SONA-25KG,Sona Masoori 25kg,Medium grain south Indian rice,GOODS,Rice & Grains,,1006,KG,1050,1200,,5,20,50,80,,,,
ATTA-10KG,Aashirvaad Atta 10kg,Whole wheat atta,GOODS,Flour,Aashirvaad,1101,KG,380,430,449,5,30,60,120,8901063061002,ITC Ltd,,,
ATTA-5KG,Aashirvaad Atta 5kg,Whole wheat atta 5kg,GOODS,Flour,Aashirvaad,1101,KG,200,225,235,5,50,100,200,8901063061019,ITC Ltd,,,
MAIDA-50KG,Maida 50kg Bag,Refined wheat flour bulk,GOODS,Flour,,1101,KG,1400,1600,,5,5,10,20,,,,
SUG-50KG,Sugar 50kg Bag,White crystal sugar bulk,GOODS,Sugar & Salt,,1701,KG,1900,2150,,5,10,20,40,,,,
SUG-5KG,Sugar 5kg Pack,White sugar retail pack,GOODS,Sugar & Salt,,1701,KG,200,230,240,5,30,60,100,,,,
SUG-1KG,Sugar 1kg,White crystal sugar 1kg,GOODS,Sugar & Salt,,1701,KG,42,48,50,5,50,100,200,,,,
SALT-1KG,Tata Salt 1kg,Iodised salt,GOODS,Sugar & Salt,Tata,2501,KG,22,27,28,5,40,80,150,8901725121334,Tata Consumer,,,
OIL-REF-15L,Fortune Sunflower Oil 15L,Tin pack bulk oil,GOODS,Edible Oil,Fortune,1512,LTR,1900,2150,,5,10,20,30,,Adani Wilmar,,,
OIL-REF-5L,Fortune Sunflower Oil 5L,Jar pack oil,GOODS,Edible Oil,Fortune,1512,LTR,650,750,790,5,20,40,60,,Adani Wilmar,,,
OIL-REF-1L,Fortune Sunflower Oil 1L,Pouch pack oil,GOODS,Edible Oil,Fortune,1512,LTR,140,165,175,5,40,80,120,8901058851014,Adani Wilmar,,,
OIL-MUS-15L,Mustard Oil 15L Tin,Kachi ghani bulk tin,GOODS,Edible Oil,,1514,LTR,2300,2600,,5,5,10,15,,,,
OIL-MUS-1L,Fortune Mustard Oil 1L,Mustard oil pouch,GOODS,Edible Oil,Fortune,1514,LTR,170,195,210,5,30,60,80,8901058853018,Adani Wilmar,,,
GHEE-1KG,Amul Ghee 1kg,Pure cow ghee tin,GOODS,Ghee & Dairy,Amul,0405,KG,480,540,560,12,15,30,50,8901262011884,GCMMF,,,
DAL-TUR-30KG,Toor Dal 30kg,Arhar dal bulk bag,GOODS,Dal & Pulses,,0713,KG,3600,4200,,5,5,10,15,,,,
DAL-TUR-1KG,Toor Dal 1kg,Toor dal retail,GOODS,Dal & Pulses,,0713,KG,130,155,165,5,30,60,100,,,,
DAL-MUNG-1KG,Moong Dal 1kg,Yellow moong dal,GOODS,Dal & Pulses,,0713,KG,110,135,145,5,30,60,100,,,,
DAL-CHANA-1KG,Chana Dal 1kg,Bengal gram dal,GOODS,Dal & Pulses,,0713,KG,75,90,95,5,30,60,100,,,,
DAL-URAD-1KG,Urad Dal 1kg,Black gram split,GOODS,Dal & Pulses,,0713,KG,95,115,125,5,20,40,60,,,,
RAJMA-1KG,Rajma 1kg,Red kidney beans,GOODS,Dal & Pulses,,0713,KG,120,145,155,5,20,40,60,,,,
TEA-1KG,Tata Tea Premium 1kg,Assam blend tea,GOODS,Tea & Coffee,Tata Tea,0902,KG,420,490,520,5,15,30,40,,Tata Consumer,,,
TEA-250G,Taj Mahal Tea 250g,Premium tea leaves,GOODS,Tea & Coffee,Taj Mahal,0902,GM,160,185,195,5,30,60,80,8901030782015,HUL,,,
SOAP-LUX-DZ,Lux Soap 100g x 12,Beauty soap dozen pack,GOODS,FMCG - Personal Care,Lux,3401,BOX,350,420,,18,10,20,30,,HUL,,,
SOAP-LUX,Lux Soap 100g,Beauty soap single,GOODS,FMCG - Personal Care,Lux,3401,PCS,35,42,45,18,50,100,150,8901030594045,HUL,,,
SHMP-H&S-340,Head & Shoulders 340ml,Anti-dandruff shampoo,GOODS,FMCG - Personal Care,Head & Shoulders,3305,ML,280,335,355,18,10,20,30,,P&G,,,
PASTE-COLG,Colgate MaxFresh 150g,Fluoride toothpaste,GOODS,FMCG - Personal Care,Colgate,3306,PCS,85,99,105,18,20,40,60,8901314961044,Colgate Palmolive,,,
DETERG-SURF-3KG,Surf Excel Matic 3kg,Front load washing powder bulk,GOODS,FMCG - Household,Surf Excel,3402,KG,550,640,680,18,10,20,30,,HUL,,,
DETERG-SURF-1KG,Surf Excel Matic 1kg,Front load powder,GOODS,FMCG - Household,Surf Excel,3402,KG,210,245,260,18,20,40,60,8901030628689,HUL,,,
VIM-750ML,Vim Dishwash 750ml,Lemon dish liquid,GOODS,FMCG - Household,Vim,3402,ML,110,130,140,18,15,30,40,,HUL,,,
MAGGI-CASE,Maggi Noodles Case 48pcs,2 min noodles distributor case,GOODS,Packaged Food,Maggi,1902,BOX,480,550,,18,5,10,15,,Nestle India,,,
MAGGI-4PK,Maggi Noodles 4-pack,2 min noodles retail,GOODS,Packaged Food,Maggi,1902,PCS,48,55,56,18,30,60,100,8901058011029,Nestle India,,,
BISCUIT-GB-DZ,Good Day Butter 150g x 12,Biscuit case,GOODS,Packaged Food,Britannia,1905,BOX,300,360,,18,5,10,20,,Britannia,,,
BISCUIT-GB,Good Day Butter 150g,Biscuit single,GOODS,Packaged Food,Britannia,1905,PCS,30,35,38,18,40,80,120,8901063106130,Britannia,,,
CHIPS-LAYS-CS,Lays Classic 52g x 30,Chips distributor carton,GOODS,Snacks,Lays,2005,BOX,480,550,,12,5,10,15,,PepsiCo,,,
CHIPS-LAYS,Lays Classic 52g,Potato chips single,GOODS,Snacks,Lays,2005,PCS,18,20,20,12,40,80,120,,PepsiCo,,,
PEPSI-2L-CS,Pepsi 2L x 6 Case,Cold drink distributor case,GOODS,Beverages,Pepsi,2202,BOX,390,450,,28,5,10,15,,PepsiCo,,,
PEPSI-250ML,Pepsi 250ml,Cola cold drink,GOODS,Beverages,Pepsi,2202,ML,15,20,20,28,40,80,120,,PepsiCo,,,
BISLERI-1L-CS,Bisleri 1L x 12 Case,Packaged water case,GOODS,Beverages,Bisleri,2201,BOX,150,180,,18,10,20,30,,Bisleri,,,
BISLERI-1L,Bisleri Water 1L,Packaged drinking water,GOODS,Beverages,Bisleri,2201,PCS,15,20,20,18,50,100,150,,Bisleri,,,
HALDI-1KG,Haldi Powder 1kg,Turmeric powder bulk,GOODS,Masala & Spices,,0910,KG,180,220,240,5,10,20,30,,,,
MIRCH-1KG,Red Chilli Powder 1kg,Kashmiri mirch bulk,GOODS,Masala & Spices,,0904,KG,200,250,275,5,10,20,30,,,,
JEERA-1KG,Jeera Whole 1kg,Cumin seeds bulk,GOODS,Masala & Spices,,0910,KG,280,340,370,5,10,20,30,,,,
DHANIA-1KG,Dhania Powder 1kg,Coriander powder bulk,GOODS,Masala & Spices,,0910,KG,120,150,170,5,10,20,30,,,,
GARAM-MDH-500G,MDH Garam Masala 500g,Mixed spice blend,GOODS,Masala & Spices,MDH,0910,GM,200,240,260,5,8,15,20,,MDH,,,
CEMENT-50KG,UltraTech Cement 50kg,OPC 53 grade cement,GOODS,Building Material,UltraTech,2523,KG,380,400,,28,10,20,40,,UltraTech Cement,,,
TMT-12MM,TMT Steel Bar 12mm,Fe500D TMT rebar per kg,GOODS,Building Material,,7214,KG,52,58,,18,100,200,500,,,,
PIPE-PVC-1IN,PVC Pipe 1 inch 6ft,CPVC plumbing pipe,GOODS,Building Material,Astral,3917,PCS,120,145,155,18,20,40,60,,Astral Pipes,,,
DELIVERY-SVC,Delivery Charge,Home delivery service,SERVICE,Services,,9965,PCS,0,30,,18,0,0,0,,,,
