sku,name,description,item_type,category,brand,hsn_code,unit_of_measure,purchase_price,sale_price,mrp,gst_rate,reorder_level,reorder_quantity,opening_stock,barcode,manufacturer,batch_number,mfg_date,expiry_date
RICE-BAS-5KG,Basmati Rice 5kg,Premium aged basmati rice,GOODS,Rice & Atta,India Gate,1006,KG,320,380,399,5,10,20,50,8901725181234,KRBL Ltd,,,
RICE-BAS-1KG,Basmati Rice 1kg,Basmati rice 1kg pack,GOODS,Rice & Atta,India Gate,1006,KG,70,82,85,5,20,50,100,8901725181241,KRBL Ltd,,,
RICE-SONA-5KG,Sona Masoori Rice 5kg,Medium grain rice,GOODS,Rice & Atta,,1006,KG,220,260,275,5,10,20,40,,,,
ATTA-10KG,Aashirvaad Atta 10kg,Chakki fresh whole wheat atta,GOODS,Rice & Atta,Aashirvaad,1101,KG,380,430,449,5,8,15,30,8901063061002,ITC Ltd,,,
ATTA-5KG,Aashirvaad Atta 5kg,Whole wheat atta 5kg,GOODS,Rice & Atta,Aashirvaad,1101,KG,200,225,235,5,15,30,60,8901063061019,ITC Ltd,,,
MAIDA-1KG,Maida 1kg,Refined wheat flour,GOODS,Rice & Atta,,1101,KG,35,42,45,5,10,20,30,,,,
SUJI-1KG,Suji/Rava 1kg,Semolina wheat,GOODS,Rice & Atta,,1103,KG,38,46,50,5,10,20,30,,,,
DAL-TUR-1KG,Toor Dal 1kg,Unpolished arhar dal,GOODS,Dal & Pulses,,0713,KG,130,155,165,5,15,30,50,,,,
DAL-MUNG-1KG,Moong Dal 1kg,Yellow split moong dal,GOODS,Dal & Pulses,,0713,KG,110,135,145,5,15,30,50,,,,
DAL-CHANA-1KG,Chana Dal 1kg,Bengal gram split,GOODS,Dal & Pulses,,0713,KG,75,90,95,5,15,30,50,,,,
DAL-MASOOR-1KG,Masoor Dal 1kg,Red lentils split,GOODS,Dal & Pulses,,0713,KG,80,95,100,5,15,30,50,,,,
RAJMA-1KG,Rajma 1kg,Red kidney beans,GOODS,Dal & Pulses,,0713,KG,120,145,155,5,10,20,30,,,,
OIL-REF-1L,Fortune Sunflower Oil 1L,Refined sunflower oil,GOODS,Oil & Ghee,Fortune,1512,LTR,140,165,175,5,12,24,48,8901058851014,Adani Wilmar,,,
OIL-MUS-1L,Fortune Mustard Oil 1L,Kachi ghani mustard oil,GOODS,Oil & Ghee,Fortune,1514,LTR,170,195,210,5,10,20,36,8901058853018,Adani Wilmar,,,
GHEE-1KG,Amul Ghee 1kg,Pure cow ghee,GOODS,Oil & Ghee,Amul,0405,KG,480,540,560,12,5,10,20,8901262011884,GCMMF,,,
SUG-1KG,Sugar 1kg,Sulphurless white sugar,GOODS,Sugar & Salt,,1701,KG,42,48,50,5,25,50,100,,,,
SUG-5KG,Sugar 5kg,White crystal sugar,GOODS,Sugar & Salt,,1701,KG,200,230,240,5,10,20,40,,,,
SALT-1KG,Tata Salt 1kg,Iodised vacuum evaporated salt,GOODS,Sugar & Salt,Tata,2501,KG,22,27,28,5,25,50,100,8901725121334,Tata Consumer,,,
TEA-250G,Taj Mahal Tea 250g,Premium tea leaves,GOODS,Tea & Coffee,Taj Mahal,0902,GM,160,185,195,5,10,20,40,8901030782015,HUL,,,
TEA-500G,Tata Tea Gold 500g,Blend of Assam tea,GOODS,Tea & Coffee,Tata Tea,0902,GM,250,290,305,5,8,15,25,,Tata Consumer,,,
COFFEE-50G,Nescafe Classic 50g,Instant coffee powder,GOODS,Tea & Coffee,Nescafe,0901,GM,120,140,150,5,10,20,30,,Nestle India,,,
MILK-500ML,Amul Taaza 500ml,Toned milk pouch,GOODS,Dairy,Amul,0401,ML,25,28,28,5,30,60,100,8901262150132,GCMMF,B-APR-01,2026-04-20,2026-04-27
MILK-1L,Amul Gold 1L,Full cream milk,GOODS,Dairy,Amul,0401,LTR,60,66,68,5,20,40,60,8901262151016,GCMMF,B-APR-02,2026-04-20,2026-04-27
CURD-400G,Amul Masti Dahi 400g,Fresh curd cup,GOODS,Dairy,Amul,0403,GM,35,40,42,5,15,30,40,8901262013024,GCMMF,B-APR-03,2026-04-22,2026-04-29
PANEER-200G,Amul Paneer 200g,Fresh cottage cheese,GOODS,Dairy,Amul,0406,GM,80,90,95,5,10,20,30,8901262250337,GCMMF,B-APR-04,2026-04-21,2026-05-05
BUTTER-100G,Amul Butter 100g,Pasteurised butter,GOODS,Dairy,Amul,0405,GM,52,56,58,12,15,30,50,,GCMMF,B-APR-05,2026-04-20,2026-06-20
BREAD-WH,Britannia Bread 400g,Whole wheat bread,GOODS,Bakery,Britannia,1905,PCS,40,45,48,5,10,20,30,8901063090125,Britannia,B-APR-06,2026-04-23,2026-04-28
BISCUIT-GB,Good Day Butter 150g,Cashew butter cookies,GOODS,Bakery,Britannia,1905,PCS,30,35,38,18,15,30,60,8901063106130,Britannia,,,
MAGGI-4PK,Maggi Noodles 4-pack,2 minute masala noodles,GOODS,Packaged Food,Maggi,1902,PCS,48,55,56,18,20,40,80,8901058011029,Nestle India,,,
BESAN-1KG,Besan 1kg,Gram flour,GOODS,Packaged Food,,1106,KG,65,78,85,5,10,20,30,,,,
SOAP-LUX,Lux Soap 100g,Beauty soap bar,GOODS,Personal Care,Lux,3401,PCS,35,42,45,18,15,30,60,8901030594045,HUL,,,
SHMP-CLINIC,Clinic Plus 175ml,Strong & long shampoo,GOODS,Personal Care,Clinic Plus,3305,ML,80,95,105,18,10,20,30,,HUL,,,
PASTE-COLG,Colgate MaxFresh 150g,Fluoride toothpaste,GOODS,Personal Care,Colgate,3306,PCS,85,99,105,18,10,20,40,8901314961044,Colgate Palmolive,,,
DETERG-SURF,Surf Excel 1kg,Matic front load powder,GOODS,Household,Surf Excel,3402,KG,210,245,260,18,8,15,30,8901030628689,HUL,,,
VIM-500ML,Vim Dishwash Liquid 500ml,Lemon dish cleaning liquid,GOODS,Household,Vim,3402,ML,85,99,109,18,10,20,30,,HUL,,,
PHENYL-1L,Lizol Floor Cleaner 1L,Citrus disinfectant cleaner,GOODS,Household,Lizol,3808,LTR,160,185,199,18,6,12,18,8901030721113,Reckitt,,,
HALDI-100G,Haldi Powder 100g,Turmeric powder,GOODS,Masala & Spices,,0910,GM,25,32,35,5,15,30,50,,,,
MIRCH-100G,Red Chilli Powder 100g,Kashmiri mirch powder,GOODS,Masala & Spices,,0904,GM,28,35,40,5,15,30,50,,,,
JEERA-100G,Jeera Powder 100g,Cumin seed powder,GOODS,Masala & Spices,,0910,GM,30,38,42,5,15,30,50,,,,
GARAM-50G,Garam Masala 50g,Mixed spice blend,GOODS,Masala & Spices,MDH,0910,GM,35,42,48,5,10,20,30,,MDH,,,
AGARBATTI,Cycle Agarbatti 120s,Incense sticks pack,GOODS,Pooja Items,Cycle,3307,PCS,50,60,65,18,10,20,30,,NR Group,,,
MATCHBOX,Matchbox,Safety matches,GOODS,Pooja Items,,3605,PCS,2,3,3,18,50,100,200,,,,
CANDLE-WH,White Candle 6-pack,Plain wax candles,GOODS,Pooja Items,,3406,PCS,20,28,30,18,10,20,40,,,,
PEN-BL,Cello Pen Blue,Ball point pen,GOODS,Stationery,Cello,9608,PCS,8,10,10,18,30,60,100,8901764007115,BIC Cello,,,
NOTEBOOK-200,Classmate Notebook 200pg,Single line long notebook,GOODS,Stationery,Classmate,4820,PCS,50,60,65,12,15,30,50,8901764010047,ITC Ltd,,,
CHIPS-LAYS,Lays Classic 52g,Salted potato chips,GOODS,Snacks,Lays,2005,PCS,20,20,20,12,20,40,60,,PepsiCo,,,
CHOCO-DAIRY,Dairy Milk 50g,Milk chocolate bar,GOODS,Snacks,Cadbury,1806,PCS,40,40,40,18,15,30,50,,Mondelez,,,
BISLERI-1L,Bisleri Water 1L,Packaged drinking water,GOODS,Beverages,Bisleri,2201,PCS,18,20,20,18,20,40,60,,Bisleri,,,
PEPSI-250ML,Pepsi 250ml,Cola cold drink,GOODS,Beverages,Pepsi,2202,ML,15,20,20,28,20,40,60,,PepsiCo,,,
CARRY-BAG,Carry Bag Medium,Reusable non-woven bag,GOODS,Packaging,,6305,PCS,3,5,5,18,50,100,200,,,,
