sku,name,description,item_type,category,brand,hsn_code,unit_of_measure,purchase_price,sale_price,mrp,gst_rate,reorder_level,reorder_quantity,opening_stock,barcode,manufacturer,batch_number,mfg_date,expiry_date
PARA-500,Paracetamol 500mg 10s,Fever and body pain relief,GOODS,Analgesic,,3004,STRIP,8,12,15,12,50,100,200,,Cipla,MED-001,2026-02-01,2028-02-01
PARA-650,Paracetamol 650mg 15s,Extended release fever tablets,GOODS,Analgesic,,3004,STRIP,18,25,30,12,30,60,120,,GSK,MED-002,2026-01-15,2028-01-15
IBUP-400,Ibuprofen 400mg 10s,Anti-inflammatory pain relief,GOODS,Analgesic,,3004,STRIP,12,18,22,12,30,60,100,,Cipla,MED-003,2026-03-01,2028-03-01
DICLO-50,Diclofenac 50mg 10s,Pain and swelling relief,GOODS,Analgesic,,3004,STRIP,10,15,18,12,25,50,80,,Micro Labs,MED-004,2026-02-10,2028-02-10
AZITH-500,Azithromycin 500mg 3s,Broad spectrum antibiotic,GOODS,Antibiotic,,3004,STRIP,55,70,82,12,20,40,60,,Alkem,MED-005,2026-03-01,2028-03-01
AMOX-500,Amoxicillin 500mg 10s,Penicillin antibiotic capsules,GOODS,Antibiotic,,3004,STRIP,28,38,45,12,25,50,80,,Cipla,MED-006,2026-02-15,2028-02-15
CEFX-200,Cefixime 200mg 10s,Third gen cephalosporin,GOODS,Antibiotic,,3004,STRIP,65,85,98,12,15,30,50,,Mankind,MED-007,2026-01-20,2028-01-20
METRO-400,Metronidazole 400mg 10s,Antiprotozoal antibiotic,GOODS,Antibiotic,,3004,STRIP,12,18,22,12,20,40,60,,Alkem,MED-008,2026-03-10,2028-03-10
CETRIZ-10,Cetirizine 10mg 10s,Antihistamine for allergies,GOODS,Antiallergy,,3004,STRIP,15,22,28,12,30,60,100,,Sun Pharma,MED-009,2026-01-15,2027-07-15
LEVO-5,Levocetirizine 5mg 10s,Non-drowsy antihistamine,GOODS,Antiallergy,,3004,STRIP,20,30,35,12,25,50,80,,Glenmark,MED-010,2026-02-20,2027-08-20
MONT-10,Montelukast 10mg 10s,Asthma and allergy prevention,GOODS,Antiallergy,,3004,STRIP,50,68,78,12,15,30,50,,Sun Pharma,MED-011,2026-03-05,2028-03-05
OMEP-20,Omeprazole 20mg 10s,Proton pump inhibitor for acidity,GOODS,Antacid,,3004,STRIP,18,28,32,12,30,60,100,,Dr Reddys,MED-012,2026-01-10,2028-01-10
PANTO-40,Pantoprazole 40mg 10s,Gastric acid reducer,GOODS,Antacid,,3004,STRIP,30,42,48,12,25,50,80,,Alkem,MED-013,2026-02-25,2028-02-25
RABEP-20,Rabeprazole 20mg 10s,GERD and ulcer treatment,GOODS,Antacid,,3004,STRIP,35,48,55,12,20,40,60,,Cadila,MED-014,2026-03-15,2028-03-15
ORS-SAC,ORS Sachet 21.8g,Oral rehydration salts WHO,GOODS,Rehydration,,3004,PCS,8,12,15,5,50,100,200,,FDC Ltd,MED-015,2026-03-10,2027-09-10
ATEN-50,Atenolol 50mg 14s,Beta blocker for blood pressure,GOODS,Cardiac,,3004,STRIP,12,18,22,12,20,40,60,,Cipla,MED-016,2026-01-20,2028-01-20
AMLO-5,Amlodipine 5mg 10s,Calcium channel blocker for BP,GOODS,Cardiac,,3004,STRIP,15,22,28,12,25,50,80,,USV,MED-017,2026-02-10,2028-02-10
