sku,name,description,item_type,category,brand,hsn_code,unit_of_measure,purchase_price,sale_price,mrp,gst_rate,reorder_level,reorder_quantity,opening_stock,barcode,manufacturer,batch_number,mfg_date,expiry_date
GEN-RICE-5KG,Basmati Rice 5kg,Premium aged basmati rice,GOODS,Grocery,India Gate,1006,KG,320,380,399,5,10,20,50,8901725181234,KRBL Ltd,,,
GEN-RICE-1KG,Basmati Rice 1kg,Premium aged basmati rice 1kg pack,GOODS,Grocery,India Gate,1006,KG,70,82,85,5,20,50,100,8901725181241,KRBL Ltd,,,
GEN-ATTA-10KG,Whole Wheat Atta 10kg,Chakki fresh atta,GOODS,Grocery,Aashirvaad,1101,KG,380,430,449,5,8,15,30,8901063061002,ITC Ltd,,,
GEN-ATTA-5KG,Whole Wheat Atta 5kg,Chakki fresh atta 5kg,GOODS,Grocery,Aashirvaad,1101,KG,200,225,235,5,15,30,60,8901063061019,ITC Ltd,,,
GEN-OIL-REF-1L,Refined Sunflower Oil 1L,Light and healthy cooking oil,GOODS,Grocery,Fortune,1512,LTR,140,165,175,5,12,24,48,8901058851014,Adani Wilmar,,,
GEN-OIL-MUS-1L,Mustard Oil 1L,Kachi ghani mustard oil,GOODS,Grocery,Fortune,1514,LTR,170,195,210,5,10,20,36,8901058853018,Adani Wilmar,,,
GEN-SUG-1KG,Sugar 1kg,Sulphurless white sugar,GOODS,Grocery,,1701,KG,42,48,50,5,25,50,100,,,,
GEN-SALT-1KG,Tata Salt 1kg,Iodised vacuum evaporated salt,GOODS,Grocery,Tata,2501,KG,22,27,28,5,20,40,80,8901725121334,Tata Consumer,,,
GEN-DAL-TUR,Toor Dal 1kg,Unpolished arhar dal,GOODS,Grocery,,0713,KG,130,155,165,5,15,30,50,,,,
GEN-DAL-MUNG,Moong Dal 1kg,Premium yellow moong dal,GOODS,Grocery,,0713,KG,110,135,145,5,15,30,50,,,,
GEN-TEA-250G,Taj Mahal Tea 250g,Premium tea leaves,GOODS,Grocery,Taj Mahal,0902,GM,160,185,195,5,10,20,40,8901030782015,HUL,,,
GEN-MILK-500,Amul Taaza 500ml,Toned milk,GOODS,Dairy,Amul,0401,ML,25,28,28,5,30,60,100,8901262150132,GCMMF,B-APR-01,2026-04-20,2026-04-27
GEN-MILK-1L,Amul Gold 1L,Full cream milk,GOODS,Dairy,Amul,0401,LTR,60,66,68,5,20,40,60,8901262151016,GCMMF,B-APR-02,2026-04-20,2026-04-27
GEN-CURD-400,Amul Masti Dahi 400g,Fresh curd,GOODS,Dairy,Amul,0403,GM,35,40,42,5,15,30,45,8901262013024,GCMMF,B-APR-03,2026-04-22,2026-04-29
